event_name,project,volume_30d,in_lexicon,verified,hidden,dropped,tags,description
Viewed Referral Program,Vana (3370988),222159,True,False,False,False,,
Viewed Personal Information 3,Vana (3370988),219081,True,False,False,False,,
Viewed ID Document Upload,Vana (3370988),213214,True,False,False,False,,
Viewed Bank Payment Method Selection,Vana (3370988),212163,True,False,False,False,,
Viewed Account Details,Vana (3370988),205008,True,False,False,False,,
Email Bounced,Vana (3370988),204725,True,False,False,False,,
Viewed Personal Information 2,Vana (3370988),195712,True,False,False,False,,
Viewed User Personal Info,Vana (3370988),193992,True,False,False,False,,
Viewed Payment Methods,Vana (3370988),193158,True,False,False,False,,
Viewed PIN Creation Instructions,Vana (3370988),188088,True,False,False,False,,
Viewed ID Verification Intro,Vana (3370988),187634,True,False,False,False,,
Viewed Work Information 2,Vana (3370988),186234,True,False,False,False,,
Viewed PIN Confirmation,Vana (3370988),185239,True,False,False,False,,
PIN Created,Vana (3370988),185041,True,False,False,False,,
Viewed Work Information 3,Vana (3370988),179509,True,False,False,False,,
Viewed ID Back Image Confirmation,Vana (3370988),178442,True,False,False,False,,
Viewed ID Front Image Confirmation,Vana (3370988),177264,True,False,False,False,,
Viewed Work Information 1,Vana (3370988),176269,True,False,False,False,,
Viewed Payment Chain Information,Vana (3370988),175617,True,False,False,False,,
Viewed Bank Account Information,Vana (3370988),174718,True,False,False,False,,
ID Document Rejected,Vana (3370988),169280,True,False,False,False,,
Retry Liveness Validation Button Pressed,Vana (3370988),168454,True,False,False,False,,
Viewed Wallet Home,Vana (3370988),167382,True,False,False,False,,
Viewed Viewed Home Rewards,Vana (3370988),156486,True,False,False,False,,
ID Verified,Vana (3370988),145305,True,False,False,False,,
ID Verification Method,Vana (3370988),141928,True,False,False,False,,
Risk Analysis Score,Vana (3370988),141317,True,False,False,False,,
Viewed Coupons,Vana (3370988),139598,True,False,False,False,,
Liveness Verification Created,Vana (3370988),139479,True,False,False,False,,
Close Loan Application Button Pressed,Vana (3370988),133878,True,False,False,False,,
Liveness Verification Success,Vana (3370988),132558,True,False,False,False,,
Registration Completed,Vana (3370988),129314,True,False,False,False,,
Loan 1 Application Approved,Vana (3370988),128741,True,False,False,False,,
Viewed Bank Account Update,Vana (3370988),127459,True,False,False,False,,
Phone Already Registered,Vana (3370988),125657,True,False,False,False,,
Log In Instead Button Pressed,Vana (3370988),116614,True,False,False,False,,
Loan Tracking Updated,Vana (3370988),116461,True,False,False,False,,
Resend Phone Verification Button Pressed,Vana (3370988),115617,True,False,False,False,,
Viewed Payment Reference Creation,Vana (3370988),112181,True,False,False,False,,
In_app Opened,Vana (3370988),111517,True,False,False,False,,
Backend Payment Rejected,Vana (3370988),99641,True,False,False,False,,
Viewed Phone Update Email Input,Vana (3370988),99400,True,False,False,False,,
Webhook Failed,Vana (3370988),95756,True,False,False,False,,
Viewed Payment Reference Confirmation,Vana (3370988),93814,True,False,False,False,,
Close Liveness Validation Button Pressed,Vana (3370988),87259,True,False,False,False,,
Viewed Reset PIN Requirements,Vana (3370988),86070,True,False,False,False,,
Viewed Temporary PIN Authentication,Vana (3370988),85204,True,False,False,False,,
Viewed Loan Agreement,Vana (3370988),84907,True,False,False,False,,
Document Verification Created,Vana (3370988),84655,True,False,False,False,,
Loan Offer Expired,Vana (3370988),83713,True,False,False,False,,
Viewed Vana Pay Home,Vana (3370988),82635,True,False,False,False,,
connected,Vana (3370988),82608,True,False,False,False,,
Push Bounced,Vana (3370988),81402,True,False,False,False,,
Viewed Enter Current PIN,Vana (3370988),80188,True,False,False,False,,
Viewed Promo and Referral Code Entry,Vana (3370988),79085,True,False,False,False,,
Loan Application Rejected,Vana (3370988),78391,True,False,False,False,,
ID Verification Failed,Vana (3370988),77909,True,False,False,False,,
Bank Account Update Attempt,Vana (3370988),73453,True,False,False,False,,
Viewed Viewed Loan Details,Vana (3370988),70614,True,False,False,False,,
Viewed Viewed Loan Application Confirmation,Vana (3370988),69510,True,False,False,False,,
Viewed Bureau Consent Clause Confirmation,Vana (3370988),65072,True,False,False,False,,
Viewed Viewed Offer Confirmation,Vana (3370988),65009,True,False,False,False,,
Logged Out,Vana (3370988),64993,True,False,False,False,,
SignUp Instead Button Pressed,Vana (3370988),62299,True,False,False,False,,
Viewed Wallet Category,Vana (3370988),61893,True,False,False,False,,
created payment promise,Vana (3370988),61040,True,False,False,False,,
Liveness Verification Failed,Vana (3370988),59676,True,False,False,False,,
Payment Cancelled,Vana (3370988),56738,True,False,False,False,,
Loan 1 Released,Vana (3370988),56381,True,False,False,False,,
Logout Button Pressed,Vana (3370988),56068,True,False,False,False,,
User Challenge Progress Start,Vana (3370988),53271,True,False,False,False,,
PIN Incorrect,Vana (3370988),52521,True,False,False,False,,
Viewed More Information Onboarding,Vana (3370988),52385,True,False,False,False,,
Loan 1 Application Rejected,Vana (3370988),51089,True,False,False,False,,
Viewed PIN Reset Success,Vana (3370988),49534,True,False,False,False,,
Push Drafted,Vana (3370988),47808,True,False,False,False,,
Disbursal Information Submitted,Vana (3370988),47669,True,False,False,False,,
Viewed Payment Reference,Vana (3370988),46230,True,False,False,False,,
Rewards Challenge Completed,Vana (3370988),44936,True,False,False,False,,
Viewed Viewed Personal Information 1,Vana (3370988),43727,True,False,False,False,,
expired payment promise,Vana (3370988),43670,True,False,False,False,,
Payment Submitted,Vana (3370988),43053,True,False,False,False,,
Viewed Vana Pay Landing,Vana (3370988),42589,True,False,False,False,,
Viewed Help Center,Vana (3370988),41310,True,False,False,False,,
JS Error,Vana (3370988),40887,True,False,False,False,,
NPS Sent,Vana (3370988),40743,True,False,False,False,,
Viewed Wallet Transactions,Vana (3370988),40682,True,False,False,False,,
Viewed Reset Email OTP Auth,Vana (3370988),39811,True,False,False,False,,
Viewed Password and Security,Vana (3370988),38968,True,False,False,False,,
Wallet Cash-In,Vana (3370988),38805,True,False,False,False,,
Loan 1 Fulfilled,Vana (3370988),38394,True,False,False,False,,
Reference Contact Added,Vana (3370988),38232,True,False,False,False,,
PIN Submit,Vana (3370988),36926,True,False,False,False,,
PIN Reset,Vana (3370988),35531,True,False,False,False,,
Backend User Balance Updated,Vana (3370988),35286,True,False,False,False,,
Viewed Viewed Personal Information 3,Vana (3370988),33464,True,False,False,False,,
Viewed Viewed Wallet Category,Vana (3370988),33371,True,False,False,False,,
Viewed Viewed Personal Information 2,Vana (3370988),33311,True,False,False,False,,
Email Clicked,Vana (3370988),33072,True,False,False,False,,
Viewed Disbursal Methods,Vana (3370988),32516,True,False,False,False,,
Viewed Viewed Work Information 1,Vana (3370988),31527,True,False,False,False,,
Viewed Viewed Work Information 2,Vana (3370988),31071,True,False,False,False,,
Viewed Viewed Work Information 3,Vana (3370988),31050,True,False,False,False,,
Viewed ID Selfie Upload Instructions,Vana (3370988),30911,True,False,False,False,,
Viewed Email Update,Vana (3370988),29144,True,False,False,False,,
Email Failed,Vana (3370988),29084,True,False,False,False,,
Viewed Viewed Wallet Home,Vana (3370988),28944,True,False,False,False,,
Disbursal Information Confirmed,Vana (3370988),28881,True,False,False,False,,
Wallet Disbursal Updated,Vana (3370988),28843,True,False,False,False,,
Retake ID Image Button Pressed,Vana (3370988),28374,True,False,False,False,,
Rewards Challenge Claimed,Vana (3370988),27436,True,False,False,False,,
Viewed Viewed Reference,Vana (3370988),25995,True,False,False,False,,
Viewed Rewards Challenge Completed Screen,Vana (3370988),25976,True,False,False,False,,
Email Converted,Vana (3370988),25022,True,False,False,False,,
Erase Signature Button Tapped,Vana (3370988),24686,True,False,False,False,,
Viewed Tu negocio,Vana (3370988),24669,True,False,False,False,,
Viewed ID Selfie Image Confirmation,Vana (3370988),24394,True,False,False,False,,
Viewed Phone Update Info,Vana (3370988),24305,True,False,False,False,,
In_app Clicked,Vana (3370988),23404,True,False,False,False,,
Recover PIN Button Pressed,Vana (3370988),22814,True,False,False,False,,
Promo Code Applied,Vana (3370988),22110,True,False,False,False,,
Paste Button Pressed,Vana (3370988),21719,True,False,False,False,,
In_app Failed,Vana (3370988),21605,True,False,False,False,,
Loan Eligibility Rejected,Vana (3370988),20770,True,False,False,False,,
Edit Disbursal Information Button Pressed,Vana (3370988),20168,True,False,False,False,,
Viewed Wallet Store,Vana (3370988),19853,True,False,False,False,,
Viewed Phone Update Email PIN Verification,Vana (3370988),19599,True,False,False,False,,
Viewed Wallet Giftcards,Vana (3370988),16513,True,False,False,False,,
Merchant Card Clicked,Vana (3370988),16499,True,False,False,False,,
API Error Received,Vana (3370988),16249,True,False,False,False,,
Viewed Yape Information,Vana (3370988),15864,True,False,False,False,,
Viewed Checkout,Vana (3370988),15511,True,False,False,False,,
Viewed Merge Account Intro,Vana (3370988),15454,True,False,False,False,,
Push Attempted,Vana (3370988),14937,True,False,False,False,,
Viewed VRM Viewed,Vana (3370988),14841,True,False,False,False,,
Promo Code Granted,Vana (3370988),14676,True,False,False,False,,
Edit Loan Application Button Pressed,Vana (3370988),13834,True,False,False,False,,
Merge Account Alert Pressed,Vana (3370988),13612,True,False,False,False,,
Viewed Phone Update Number Input,Vana (3370988),13524,True,False,False,False,,
Viewed Historial,Vana (3370988),12990,True,False,False,False,,
Phone Verification Attempt,Vana (3370988),12694,True,False,False,False,,
Loan Application Confirmation Error,Vana (3370988),12485,True,False,False,False,,
Payment Expired,Vana (3370988),12461,True,False,False,False,,
Payment Plan Selected,Vana (3370988),12401,True,False,False,False,,
Close Application Button Pressed,Vana (3370988),12044,True,False,False,False,,
Viewed Wallet Subcategory,Vana (3370988),12002,True,False,False,False,,
Email Dropped,Vana (3370988),11977,True,False,False,False,,
Promotion Displayed,Vana (3370988),11920,True,False,False,False,,
Viewed Pay with Vana Cash,Vana (3370988),11748,True,False,False,False,,
Backend Payment Approved,Vana (3370988),11673,True,False,False,False,,
Personal Form Submitted Failed,Vana (3370988),11614,True,False,False,False,,
Viewed digital signature authorization,Vana (3370988),11552,True,False,False,False,,
Backend Loan Installment Payment Reminder,Vana (3370988),11156,True,False,False,False,,
Viewed Delete Account,Vana (3370988),11100,True,False,False,False,,
Viewed Viewed Bureau Consent Clause Confirmation,Vana (3370988),10836,True,False,False,False,,
Login Clicked,Vana (3370988),10785,True,False,False,False,,
Viewed Credit Pre-approval Loading,Vana (3370988),10544,True,False,False,False,,
Viewed Wallet Purchase Review,Vana (3370988),10488,True,False,False,False,,
fulfilled payment promise,Vana (3370988),10228,True,False,False,False,,
Payment calculator amount entered,Vana (3370988),10189,True,False,False,False,,
Viewed Address Confirmation,Vana (3370988),9866,True,False,False,False,,
Backend Loan Payment Distribution Applied,Vana (3370988),9452,True,False,False,False,,
Merge Account Initiated,Vana (3370988),9438,True,False,False,False,,
Contract Terms Confirmed,Vana (3370988),9081,True,False,False,False,,
Viewed Vana Pay Plans Selection,Vana (3370988),8945,True,False,False,False,,
Viewed Orders In Progress Displayed,Vana (3370988),8915,True,False,False,False,,
Viewed VRM Earnings Viewed,Vana (3370988),8871,True,False,False,False,,
Order Creation Attempted,Vana (3370988),8435,True,False,False,False,,
Payment Method Selected,Vana (3370988),8425,True,False,False,False,,
Viewed Viewed Rewards Challenge Information,Vana (3370988),8405,True,False,False,False,,
Checkout Attempted,Vana (3370988),8359,True,False,False,False,,
Viewed Select Receipt Type,Vana (3370988),8135,True,False,False,False,,
Payment calculator plan selected,Vana (3370988),8097,True,False,False,False,,
Order Created,Vana (3370988),8042,True,False,False,False,,
Viewed Orden generada,Vana (3370988),7962,True,False,False,False,,
Merchant Searched,Vana (3370988),7948,True,False,False,False,,
Referral Home Video,Vana (3370988),7868,True,False,False,False,,
Account Deleted,Vana (3370988),7705,True,False,False,False,,
Viewed Address Receipt,Vana (3370988),7569,True,False,False,False,,
Viewed Instant Transfer,Vana (3370988),7397,True,False,False,False,,
Loan Transfer Failed,Vana (3370988),7361,True,False,False,False,,
Reference Error,Vana (3370988),6778,True,False,False,False,,
Close Personal Info Button Pressed,Vana (3370988),6467,True,False,False,False,,
Origination Evaluated,Vana (3370988),6458,True,False,False,False,,
Referral Reward Transfer Confirmed,Vana (3370988),6405,True,False,False,False,,
Backend Checkout Completed,Vana (3370988),6190,True,False,False,False,,
Backend Initial Risk Segment Assigned,Vana (3370988),6084,True,False,False,False,,
Viewed VRM Loaded,Vana (3370988),6067,True,False,False,False,,
Viewed Phone Update Verification Code Input,Vana (3370988),5978,True,False,False,False,,
Loan Application Closed,Vana (3370988),5849,True,False,False,False,,
Payment calculator opened,Vana (3370988),5561,True,False,False,False,,
Selected Receipt Type,Vana (3370988),5481,True,False,False,False,,
Go to Vana Pay Button Pressed,Vana (3370988),5415,True,False,False,False,,
Payment Rejected,Vana (3370988),5370,True,False,False,False,,
Rewards Tooltips,Vana (3370988),5357,True,False,False,False,,
Wallet Information,Vana (3370988),5340,True,False,False,False,,
Viewed Pay with Vana Cash Confirmation,Vana (3370988),5299,True,False,False,False,,
Image Upload Option,Vana (3370988),5174,True,False,False,False,,
Payment calculator calculated,Vana (3370988),5135,True,False,False,False,,
Address Receipt Submitted,Vana (3370988),5117,True,False,False,False,,
Viewed Cash Pickup,Vana (3370988),5104,True,False,False,False,,
Backend User Created,Vana (3370988),5078,True,False,False,False,,
Vana Pay Onboarding Completed,Vana (3370988),5039,True,False,False,False,,
Payment calculator closed,Vana (3370988),4981,True,False,False,False,,
Backend Loan Fulfilled,Vana (3370988),4854,True,False,False,False,,
In_app Converted,Vana (3370988),4835,True,False,False,False,,
Home Filter Selected,Vana (3370988),4733,True,False,False,False,,
Credit Balance More Info Clicked,Vana (3370988),4731,True,False,False,False,,
Merge Account Iniciated,Vana (3370988),4701,True,False,False,False,,
Viewed Credit Aplication Confirmation,Vana (3370988),4598,True,False,False,False,,
Viewed Checkout Completed,Vana (3370988),4513,True,False,False,False,,
Close Liveness Verification Button Pressed,Vana (3370988),4496,True,False,False,False,,
Payment Retry Attempted,Vana (3370988),4386,True,False,False,False,,
Viewed Terms Of Service,Vana (3370988),4322,True,False,False,False,,
Checkout Receipt Downloaded,Vana (3370988),4114,True,False,False,False,,
Invalid Credit Card Entered,Vana (3370988),4087,True,False,False,False,,
Viewed PIN Update Instructions,Vana (3370988),4065,True,False,False,False,,
Wallet Roll-back,Vana (3370988),4049,True,False,False,False,,
Incode Module Started,Vana (3370988),3993,True,False,False,False,,
Referral Promo Applied,Vana (3370988),3970,True,False,False,False,,
Personal Income Submitted Success,Vana (3370988),3920,True,False,False,False,,
Backend Initial Credit Line Assigned,Vana (3370988),3905,True,False,False,False,,
Card Balance Loaded,Vana (3370988),3889,True,False,False,False,,
Viewed,Vana (3370988),3882,True,False,False,False,,
Wallet Purchase Completed,Vana (3370988),3870,True,False,False,False,,
Credit Card Changed,Vana (3370988),3678,True,False,False,False,,
ID Number Error,Vana (3370988),3669,True,False,False,False,,
Digital Signature Authorization,Vana (3370988),3652,True,False,False,False,,
Registration Clicked,Vana (3370988),3468,True,False,False,False,,
Contract Signature Started,Vana (3370988),3416,True,False,False,False,,
Backend Payment Session Created,Vana (3370988),3301,True,False,False,False,,
Bank Ticket Upload,Vana (3370988),3299,True,False,False,False,,
Viewed ID Document On Cooldown,Vana (3370988),3286,True,False,False,False,,
User Phone Update Initiated,Vana (3370988),3238,True,False,False,False,,
Address Verification Failed,Vana (3370988),3221,True,False,False,False,,
Download Receipt Clicked,Vana (3370988),3178,True,False,False,False,,
Checkout Successful,Vana (3370988),3177,True,False,False,False,,
Personal Form Submitted Success,Vana (3370988),3119,True,False,False,False,,
Bank Ticket Upload Started,Vana (3370988),3105,True,False,False,False,,
Incode Module Completed,Vana (3370988),2994,True,False,False,False,,
Viewed Address Verification Intro,Vana (3370988),2992,True,False,False,False,,
Viewed Liveness Verification Started,Vana (3370988),2973,True,False,False,False,,
ID Front Upload Instructions,Vana (3370988),2960,True,False,False,False,,
Authentication Error,Vana (3370988),2885,True,False,False,False,,
Viewed Phone Update Success,Vana (3370988),2760,True,False,False,False,,
Confirm Delete Account Button Pressed,Vana (3370988),2742,True,False,False,False,,
Login Succeeded,Vana (3370988),2727,True,False,False,False,,
Delete Account Request Successful,Vana (3370988),2712,True,False,False,False,,
Order Link Copy Clicked,Vana (3370988),2706,True,False,False,False,,
Viewed Pay Personal Info,Vana (3370988),2704,True,False,False,False,,
Order Details Clicked,Vana (3370988),2679,True,False,False,False,,
Order Details Displayed,Vana (3370988),2679,True,False,False,False,,
Referral Statistics,Vana (3370988),2677,True,False,False,False,,
Viewed Detalle de orden,Vana (3370988),2677,True,False,False,False,,
Viewed Checkout Failed,Vana (3370988),2629,True,False,False,False,,
Merge Account Confirmed,Vana (3370988),2607,True,False,False,False,,
Bank Ticket Confirmation,Vana (3370988),2559,True,False,False,False,,
Payment Started,Vana (3370988),2546,True,False,False,False,,
Viewed User Segmentation Loader,Vana (3370988),2538,True,False,False,False,,
Rewards Expectancy Disbursement Button Pressed,Vana (3370988),2459,True,False,False,False,,
Viewed Merchant Login,Vana (3370988),2446,True,False,False,False,,
Selfie Upload Attempt,Vana (3370988),2438,True,False,False,False,,
Viewed Primary Offer Displayed,Vana (3370988),2398,True,False,False,False,,
Login Attempted,Vana (3370988),2376,True,False,False,False,,
Backend Payment Intent Approved,Vana (3370988),2330,True,False,False,False,,
Backend Loan Late Fee Created,Vana (3370988),2321,True,False,False,False,,
ID Verification Completed,Vana (3370988),2321,True,False,False,False,,
Viewed Address Receipt Upload Instructions,Vana (3370988),2292,True,False,False,False,,
Incode Camera Retry,Vana (3370988),2265,True,False,False,False,,
NPS Survey Submitted,Vana (3370988),2252,True,True,False,False,,
Viewed Address Receipt Image Confirmation,Vana (3370988),2219,True,False,False,False,,
Late Payment See Details Clicked,Vana (3370988),2205,True,False,False,False,,
Viewed Checkout Thank You,Vana (3370988),2147,True,False,False,False,,
Payment Session Review Requested,Vana (3370988),2131,True,False,False,False,,
Viewed Viewed Rewards Challenge Completed Screen,Vana (3370988),2129,True,False,False,False,,
Viewed Privacy Policy,Vana (3370988),2116,True,False,False,False,,
Checkout Failed,Vana (3370988),2045,True,False,False,False,,
Add Credit Card Clicked,Vana (3370988),2028,True,False,False,False,,
Checkout Under Review,Vana (3370988),2024,True,False,False,False,,
Auth Error Received,Vana (3370988),1956,True,False,False,False,,
Backend User Profile Completed,Vana (3370988),1935,True,False,False,False,,
Address Verified,Vana (3370988),1882,True,False,False,False,,
VRM Cashout Initiated,Vana (3370988),1834,True,False,False,False,,
ID Front Image Confirmation,Vana (3370988),1785,True,False,False,False,,
Incode Flow Ready,Vana (3370988),1745,True,False,False,False,,
Viewed Viewed Wallet Information,Vana (3370988),1699,True,False,False,False,,
Viewed Cash Pickup More Information,Vana (3370988),1682,True,False,False,False,,
Viewed Viewed Transactions History,Vana (3370988),1663,True,False,False,False,,
Wallet Onboarding,Vana (3370988),1578,True,False,False,False,,
ID Back Upload Instructions,Vana (3370988),1562,True,False,False,False,,
ID Back Image Confirmation,Vana (3370988),1516,True,False,False,False,,
Delete Credit Card Clicked,Vana (3370988),1494,True,False,False,False,,
VRM Cashout Processing Started,Vana (3370988),1479,True,False,False,False,,
Viewed ID Verification Requested,Vana (3370988),1446,True,False,False,False,,
Backend Credit Line Increased,Vana (3370988),1432,True,False,False,False,,
Backend User ID Verification Requested,Vana (3370988),1404,True,False,False,False,,
Viewed ID Verification Upload,Vana (3370988),1383,True,False,False,False,,
User Phone Update Confirmed,Vana (3370988),1241,True,False,False,False,,
Select Credit Card Clicked,Vana (3370988),1219,True,False,False,False,,
Payment calculator recalculated,Vana (3370988),1082,True,False,False,False,,
Start Card Application Button Pressed,Vana (3370988),1060,True,False,False,False,,
Login Failed,Vana (3370988),1018,True,False,False,False,,
Delete Account Request Unsuccessful,Vana (3370988),1002,True,False,False,False,,
Pin Created,Vana (3370988),982,True,False,False,False,,
Credit Card Added,Vana (3370988),957,True,False,False,False,,
Viewed Formulario agregar vendedor,Vana (3370988),919,True,False,False,False,,
ID Selfie Upload Instructions,Vana (3370988),880,True,False,False,False,,
Delete Credit Card Failed,Vana (3370988),861,True,False,False,False,,
Viewed Personal Info Viewed,Vana (3370988),849,True,False,False,False,,
Bank Selected,Vana (3370988),826,True,False,False,False,,
ID Selfie Image Confirmation,Vana (3370988),817,True,False,False,False,,
Add Credit Card Failed,Vana (3370988),814,True,False,False,False,,
New Payment Plan Offered,Vana (3370988),804,True,False,False,False,,
Continue in the app,Vana (3370988),778,True,False,False,False,,
Document Already Registered,Vana (3370988),774,True,False,False,False,,
Add seller submitted,Vana (3370988),749,True,False,False,False,,
View Cash Pickup Locations Button Pressed,Vana (3370988),733,True,False,False,False,,
Verification.Provider.Finished,Vana (3370988),717,True,False,False,False,,
Incode Flow Completed,Vana (3370988),715,True,False,False,False,,
Bot Payment Details Required,Vana (3370988),687,True,False,False,False,,
Do it Later Button Pressed,Vana (3370988),672,True,False,False,False,,
Backend Credit Line Decreased,Vana (3370988),670,True,False,False,False,,
Delete My Account Box Checked,Vana (3370988),637,True,False,False,False,,
Retake Address Receipt Image Button Pressed,Vana (3370988),635,True,False,False,False,,
Viewed Pin Confirmation,Vana (3370988),616,True,False,False,False,,
View Service Receipt Number Instructions Button Pressed,Vana (3370988),588,True,False,False,False,,
Credit Card Deleted,Vana (3370988),581,True,False,False,False,,
Viewed Vana Card Landing,Vana (3370988),572,True,False,False,False,,
Viewed Bank Account Viewed,Vana (3370988),504,True,False,False,False,,
Card Details Opened,Vana (3370988),498,True,False,False,False,,
Account Type Selected,Vana (3370988),494,True,False,False,False,,
ID Verification Dismissed,Vana (3370988),476,True,False,False,False,,
Viewed Viewed References,Vana (3370988),471,True,False,False,False,,
Logout Attempted,Vana (3370988),467,True,False,False,False,,
Viewed Viewed Card Request Confirmation,Vana (3370988),465,True,False,False,False,,
Personal Info Submitted,Vana (3370988),461,True,False,False,False,,
Backend Credit Line Not Assigned,Vana (3370988),455,True,False,False,False,,
Payment Plan Modified,Vana (3370988),450,True,False,False,False,,
Card Application Submitted,Vana (3370988),445,True,False,False,False,,
Logout Succeeded,Vana (3370988),439,True,False,False,False,,
Viewed Viewed Card Statement,Vana (3370988),422,True,False,False,False,,
ID Front Capture Completed,Vana (3370988),412,True,False,False,False,,
Viewed Pin Creation,Vana (3370988),401,True,False,False,False,,
Document ID Error,Vana (3370988),399,True,False,False,False,,
Email Already In Use,Vana (3370988),396,True,False,False,False,,
Order Creation Failed,Vana (3370988),380,True,False,False,False,,
Active Credit When Deleting Account,Vana (3370988),376,True,False,False,False,,
Viewed Onboarding 1,Vana (3370988),374,True,False,False,False,,
ID Back Capture Completed,Vana (3370988),368,True,False,False,False,,
Delivery Intake Received,Vana (3370988),361,True,False,False,False,,
Viewed Review Viewed,Vana (3370988),356,True,False,False,False,,
Backend Payment Session Updated,Vana (3370988),354,True,False,False,False,,
Bank Account Submitted,Vana (3370988),346,True,False,False,False,,
Change Payment Method Clicked,Vana (3370988),345,True,False,False,False,,
Delivery Assigned,Vana (3370988),342,True,False,False,False,,
Card Activation Requested,Vana (3370988),337,True,False,False,False,,
Delete Account Button Pressed,Vana (3370988),328,True,False,False,False,,
Change Phone Clicked,Vana (3370988),327,True,False,False,False,,
Viewed Formulario editar vendedor,Vana (3370988),318,True,False,False,False,,
Loan Release Delayed,Vana (3370988),290,True,False,False,False,,
Delivery Started,Vana (3370988),284,True,False,False,False,,
Delivery Confirmed,Vana (3370988),282,True,False,False,False,,
Invalid Expiration Date Entered,Vana (3370988),277,True,False,False,False,,
Backend Manual Payment Approved,Vana (3370988),276,True,False,False,False,,
Backend Payment Velocity Rule Exceeded,Vana (3370988),274,True,False,False,False,,
Viewed Identity Verification Intro,Vana (3370988),247,True,False,False,False,,
Viewed Card Activation Started,Vana (3370988),245,True,False,False,False,,
